date,meal,dish,quantity_g
2026-02-01,breakfast,hot tea (garam chai),200
2026-02-01,breakfast,plain roti,80
2026-02-01,lunch,steamed rice,250
2026-02-01,lunch,dal,150
2026-02-01,dinner,vegetable curry,120

2026-02-02,breakfast,instant coffee,180
2026-02-02,breakfast,plain roti,80
2026-02-02,lunch,steamed rice,260
2026-02-02,lunch,dal,140
2026-02-02,dinner,paneer curry,120

2026-02-03,breakfast,hot tea (garam chai),200
2026-02-03,breakfast,plain roti,80
2026-02-03,lunch,steamed rice,240
2026-02-03,lunch,rajma,150
2026-02-03,dinner,vegetable curry,130

